Vendor Name,Vendor Style Number ,Style Code,UPC,WHSEDESC,Vendor Color Name,Size, S&B Pricing  , Pricing with Customer Discount  ,Customer discount + Embroidery ,Embroidery Design ,Personalization?,Department,Ordering Note,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,1120,1120_R_NVY-NAVY,619159989670,Classic Women's Drawstring Scrub Pant,Navy,L, $23.99 , $17.99 ,,,,RN,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,1120,1120_R_NVY-NAVY,619159989687,Classic Women's Drawstring Scrub Pant,Navy,XL, $23.99 , $17.99 ,,,,RN,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,1120,1120_R_PEW-PEWTER,619159992687,Classic Women's Drawstring Scrub Pant,Pewter,XS, $23.99 , $17.99 ,,,,PCT,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,1120,1120_R_PEW-PEWTER,619159992694,Classic Women's Drawstring Scrub Pant,Pewter,S, $23.99 , $17.99 ,,,,PCT,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,1120,1120_R_PEW-PEWTER,619159992700,Classic Women's Drawstring Scrub Pant,Pewter,M, $23.99 , $17.99 ,,,,PCT,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,1120,1120_R_PEW-PEWTER,619159992717,Classic Women's Drawstring Scrub Pant,Pewter,L, $23.99 , $17.99 ,,,,PCT,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,1120,1120_R_PEW-PEWTER,619159992724,Classic Women's Drawstring Scrub Pant,Pewter,XL, $23.99 , $17.99 ,,,,PCT,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,1120,1120_R1_NVY-NAVY,619159989694,Classic Women's Drawstring Scrub Pant,Navy,2X, $25.99 , $19.49 ,,,,RN,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,1120,1120_R1_NVY-NAVY,619159989700,Classic Women's Drawstring Scrub Pant,Navy,3X, $25.99 , $19.49 ,,,,RN,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,1120,1120_R1_PEW-PEWTER,619159992731,Classic Women's Drawstring Scrub Pant,Pewter,2X, $25.99 , $19.49 ,,,,PCT,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,1120,1120_R1_PEW-PEWTER,619159992748,Classic Women's Drawstring Scrub Pant,Pewter,3X, $25.99 , $19.49 ,,,,PCT,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,1120,1120_T_NVY-NAVY,619159994506,Classic Women's Drawstring Scrub Pant,Navy,TXS, $23.99 , $17.99 ,,,,RN,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,1120,1120_T_NVY-NAVY,619159994513,Classic Women's Drawstring Scrub Pant,Navy,TS, $23.99 , $17.99 ,,,,RN,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,1120,1120_T_NVY-NAVY,619159994520,Classic Women's Drawstring Scrub Pant,Navy,TM, $23.99 , $17.99 ,,,,RN,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,1120,1120_T_NVY-NAVY,619159994537,Classic Women's Drawstring Scrub Pant,Navy,TL, $23.99 , $17.99 ,,,,RN,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,1120,1120_T_NVY-NAVY,619159994544,Classic Women's Drawstring Scrub Pant,Navy,TXL, $23.99 , $17.99 ,,,,RN,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,1120,1120_T_PEW-PEWTER,619159993875,Classic Women's Drawstring Scrub Pant,Pewter,TXS, $23.99 , $17.99 ,,,,PCT,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,1120,1120_T_PEW-PEWTER,619159993882,Classic Women's Drawstring Scrub Pant,Pewter,TS, $23.99 , $17.99 ,,,,PCT,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,1120,1120_T_PEW-PEWTER,619159993899,Classic Women's Drawstring Scrub Pant,Pewter,TM, $23.99 , $17.99 ,,,,PCT,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,1120,1120_T_PEW-PEWTER,619159993905,Classic Women's Drawstring Scrub Pant,Pewter,TL, $23.99 , $17.99 ,,,,PCT,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,1120,1120_T_PEW-PEWTER,619159993912,Classic Women's Drawstring Scrub Pant,Pewter,TXL, $23.99 , $17.99 ,,,,PCT,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,1120,1120_T1_NVY-NAVY,619159994551,Classic Women's Drawstring Scrub Pant,Navy,T2X, $25.99 , $19.49 ,,,,RN,,,,,,,,,,,,,,,,,,,,,
